doc1,doc2,positive_edges,negative_edges,total_edges
0000,0198,2,0,2
0000,0315,2,0,2
0000,0345,2,0,2
0000,0003,3,0,3
0000,0405,3,0,3
0000,0725,2,0,2
0000,0647,2,0,2
0000,0093,2,0,2
0000,0415,3,1,4
0000,0249,2,1,3
0000,0396,1,0,1
0000,0103,3,0,3
0000,0095,2,0,2
0000,0413,1,0,1
0000,0703,1,0,1
0000,0243,1,0,1
0000,0088,1,0,1
0000,0288,4,0,4
0000,0417,1,0,1
0000,0364,1,0,1
0000,0392,1,0,1
0000,0391,1,0,1
0000,0412,3,0,3
0000,0407,2,0,2
0000,0406,1,0,1
0000,0388,2,0,2
0000,0735,2,0,2
0000,0114,2,0,2
0000,0113,3,0,3
0000,0228,4,0,4
0003,0095,3,0,3
0003,0288,1,0,1
0003,0228,2,0,2
0003,0417,1,0,1
0003,0391,1,0,1
0003,0364,1,0,1
0003,0392,2,0,2
0003,0412,4,0,4
0003,0407,2,0,2
0003,0406,1,0,1
0003,0114,1,0,1
0003,0388,2,0,2
0003,0113,1,0,1
0000,0323,1,0,1
0000,0380,0,1,1
0000,0271,2,1,3
0000,0285,4,0,4
0000,0340,3,0,3
0000,0097,1,1,2
0000,0740,1,0,1
0000,0399,0,3,3
0003,0740,1,0,1
0003,0097,1,0,1
0003,0340,3,0,3
0003,0380,0,1,1
0000,0481,2,1,3
0000,0387,1,1,2
0000,0414,1,0,1
0000,0260,1,0,1
0000,0026,0,1,1
0003,0066,1,1,2
0003,0387,1,1,2
0000,0279,1,0,1
0002,0020,5,0,5
0003,0414,1,0,1
0003,0379,2,0,2
0002,0027,1,2,3
0000,0284,0,1,1
0000,0225,1,1,2
0000,0177,3,0,3
0000,0379,3,0,3
0003,0399,0,1,1
0000,0250,1,0,1
0000,0066,2,1,3
0000,0150,2,0,2
0000,0409,1,1,2
0003,0225,2,0,2
0000,0230,1,0,1
0000,0305,1,1,2
0000,0071,3,0,3
0003,0271,1,0,1
0000,0411,2,0,2
0000,0398,4,0,4
0002,0741,2,2,4
0000,0286,0,1,1
0002,0064,1,1,2
0003,0409,1,1,2
0002,0060,2,0,2
0002,0059,1,0,1
0002,0009,2,0,2
0002,0015,3,2,5
0000,0238,4,0,4
0000,0056,2,0,2
0003,0411,1,0,1
0002,0022,1,1,2
0002,0065,3,1,4
0001,0002,6,0,6
0003,0398,3,0,3
0001,0021,4,0,4
0002,0007,3,4,7
0002,0050,3,3,6
0000,0241,2,0,2
0002,0028,2,0,2
0001,0007,9,9,18
0000,0355,2,0,2
0001,0022,4,0,4
0000,0280,1,0,1
0001,0006,2,3,5
0001,0020,7,0,7
0003,0241,2,0,2
0001,0001,2,0,2
0002,0010,1,1,2
0000,0235,1,2,3
0003,0385,1,0,1
0002,0058,7,2,9
0001,0012,4,0,4
0003,0408,1,0,1
0003,0280,1,0,1
0000,0385,1,0,1
0001,0064,9,0,9
0000,0711,2,0,2
0003,0238,3,0,3
0000,0408,1,0,1
0000,0222,2,0,2
0002,0446,1,0,1
0002,0578,5,0,5
0003,0222,3,0,3
0002,0012,1,0,1
0001,0017,3,0,3
0001,0005,3,0,3
0002,0427,1,2,3
0000,0349,2,0,2
0003,0725,1,0,1
0002,0035,1,0,1
0002,0054,0,2,2
0001,0057,4,0,4
0002,0057,2,0,2
0000,0294,1,0,1
0002,0088,1,0,1
0001,0010,3,0,3
0003,0294,1,0,1
0006,0057,2,0,2
0001,0019,3,0,3
0006,0446,1,0,1
0006,0012,1,0,1
0006,0088,1,0,1
0006,0578,3,0,3
0003,0071,3,0,3
0003,0293,1,0,1
0001,0015,5,2,7
0006,0427,1,2,3
0006,0035,1,0,1
0002,0006,3,4,7
0000,0343,3,0,3
0003,0712,2,0,2
0001,0050,5,0,5
0003,0279,1,0,1
0000,0141,1,0,1
0001,0028,1,0,1
0003,0349,1,0,1
0001,0032,2,1,3
0001,0058,4,2,6
0001,0052,2,0,2
0001,0027,4,0,4
0000,0712,2,0,2
0001,0009,1,0,1
0003,0366,2,0,2
0005,0006,2,1,3
0002,0017,0,1,1
0001,0427,1,1,2
0006,0017,0,1,1
0000,0044,2,1,3
0005,0578,3,0,3
0002,0061,1,0,1
0006,0015,2,0,2
0000,0224,2,0,2
0006,0050,2,1,3
0000,0293,0,1,1
0000,0311,2,0,2
0001,0035,0,1,1
0001,0430,1,0,1
0008,0119,0,1,1
0006,0030,3,0,3
0000,0047,4,0,4
0006,0008,3,2,5
0005,0057,1,0,1
0006,0006,2,2,4
0008,0061,1,0,1
0000,0366,1,0,1
0008,0578,1,1,2
0003,0544,1,0,1
0000,0264,0,1,1
0000,0087,1,0,1
0005,0010,1,1,2
0003,0112,3,0,3
0006,0061,1,0,1
0001,0060,3,0,3
0003,0384,1,1,2
0003,0350,1,0,1
0005,0446,2,0,2
0002,0002,3,2,5
0002,0119,0,1,1
0006,0010,0,2,2
0005,0088,1,0,1
0005,0050,1,0,1
0003,0481,3,0,3
0000,0267,1,0,1
0000,0416,1,0,1
0000,0350,1,0,1
0003,0415,3,0,3
0000,0304,2,0,2
0000,0435,2,0,2
0002,0019,1,0,1
0000,0736,1,0,1
0008,0030,1,0,1
0005,0054,0,1,1
0003,0311,4,0,4
0008,0015,1,0,1
0003,0224,2,0,2
0002,0280,1,0,1
0002,0030,1,0,1
0003,0141,1,0,1
0003,0074,1,0,1
0003,0360,1,0,1
0005,0433,1,1,2
0000,0278,1,0,1
0001,0030,1,0,1
0003,0736,1,0,1
0003,0405,1,0,1
0005,0427,0,2,2
0003,0232,1,0,1
0002,0013,1,0,1
0000,0314,2,0,2
0006,0433,2,1,3
0000,0644,1,0,1
0003,0343,3,0,3
0008,0427,0,1,1
0002,0032,3,2,5
0006,0741,0,1,1
0000,0384,1,0,1
0002,0138,1,0,1
0002,0210,1,0,1
0000,0074,1,0,1
0003,0123,1,0,1
0000,0719,1,0,1
0008,0433,1,1,2
0006,0119,0,1,1
0000,0290,1,0,1
0002,0433,2,1,3
0008,0741,0,1,1
0002,0133,1,0,1
0000,0282,1,0,1
0006,0013,2,0,2
0001,0578,1,0,1
0001,0433,2,0,2
0006,0020,1,3,4
0005,0015,1,0,1
0007,0008,4,1,5
0000,0237,1,0,1
0007,0050,1,0,1
0008,0010,0,1,1
0005,0210,1,0,1
0006,0032,1,1,2
0006,0058,1,1,2
0000,0442,2,0,2
0006,0007,1,2,3
0003,0304,3,0,3
0003,0125,2,0,2
0000,0261,1,0,1
0003,0424,3,0,3
0002,0274,1,0,1
0006,0064,0,1,1
0003,0281,2,0,2
0002,0008,1,2,3
0005,0061,1,0,1
0001,0063,3,0,3
0003,0305,2,0,2
0000,0367,1,0,1
0000,0281,2,0,2
0001,0059,2,0,2
0001,0088,1,0,1
0001,0065,2,2,4
0008,0032,2,2,4
0000,0270,1,0,1
0002,0248,1,0,1
0003,0644,1,0,1
0003,0711,7,0,7
0003,0719,1,0,1
0003,0314,3,0,3
0002,0063,2,1,3
0002,0192,1,0,1
0002,0430,2,0,2
0008,0008,1,0,1
0001,0008,3,0,3
0001,0446,1,0,1
0000,0268,2,0,2
0003,0382,1,0,1
0000,0124,1,0,1
0003,0373,1,0,1
0008,0065,1,0,1
0002,0005,1,0,1
0000,0468,2,0,2
0001,0119,1,0,1
0002,0467,1,0,1
0002,0228,1,0,1
0000,0125,1,0,1
0003,0647,2,1,3
0003,0053,1,0,1
0003,0056,2,0,2
0000,0683,1,0,1
0002,0343,1,0,1
0001,0004,1,0,1
0002,0218,1,0,1
0002,0347,1,0,1
0002,0286,1,0,1
0002,0376,1,0,1
0002,0482,1,0,1
0005,0192,1,0,1
0007,0012,0,1,1
0003,0047,1,0,1
0008,0210,1,0,1
0000,0418,1,0,1
0000,0382,1,0,1
0003,0683,1,0,1
0000,0112,3,0,3
0005,0017,1,0,1
0002,0459,1,0,1
0005,0007,1,0,1
0007,0010,0,1,1
0007,0007,1,1,2
0006,0210,2,0,2
0008,0012,0,1,1
0000,0196,1,0,1
0003,0334,1,0,1
0003,0177,1,0,1
0000,0373,1,0,1
0003,0435,1,0,1
0005,0030,1,0,1
0003,0026,1,0,1
0004,0280,1,0,1
0000,0140,1,0,1
0006,0280,1,0,1
0003,0494,2,0,2
0002,0555,1,0,1
0002,0415,1,0,1
0003,0418,1,0,1
0002,0120,1,0,1
0004,0460,1,0,1
0006,0192,1,0,1
0000,0491,1,0,1
0008,0021,1,0,1
0006,0054,0,1,1
0000,0053,1,0,1
0003,0136,1,0,1
0006,0133,1,0,1
0000,0276,1,0,1
0007,0119,0,1,1
0003,0355,2,0,2
0003,0724,1,0,1
0003,0556,1,0,1
0003,0124,1,0,1
0000,0000,1,0,1
0002,0496,1,0,1
0015,0138,1,0,1
0003,0705,1,0,1
0000,0136,1,0,1
0015,0274,1,0,1
0006,0063,0,1,1
0015,0555,1,0,1
0015,0021,1,0,1
0005,0120,1,0,1
0003,0615,1,0,1
0003,0315,1,0,1
0006,0027,1,0,1
0006,0138,1,0,1
0007,0427,0,1,1
0003,0306,1,0,1
0002,0505,1,0,1
0008,0058,2,1,3
0003,0723,1,0,1
0003,0157,1,0,1
0008,0050,1,0,1
0003,0345,2,0,2
0006,0430,0,1,1
0003,0151,1,0,1
0001,0192,1,0,1
0008,0192,1,0,1
0003,0276,2,0,2
0003,0278,1,0,1
0004,0388,1,0,1
0004,0474,1,0,1
0005,0012,1,0,1
0006,0060,1,0,1
0015,0248,1,0,1
0004,0505,1,0,1
0006,0274,1,0,1
0005,0020,1,0,1
0012,0015,1,0,1
0003,0351,1,0,1
0002,0388,1,0,1
0002,0474,1,0,1
0003,0093,2,0,2
0003,0196,2,0,2
0000,0474,1,0,1
0007,0017,0,1,1
0005,0032,0,1,1
0005,0058,0,1,1
0002,0021,1,1,2
0003,0260,1,0,1
0006,0065,1,0,1
0003,0044,1,0,1
0006,0059,1,0,1
0000,0157,1,0,1
0006,0343,1,0,1
0004,0041,1,0,1
0009,0009,1,0,1
0003,0086,1,0,1
0004,0165,1,0,1
0003,0230,1,0,1
0008,0122,1,0,1
0015,0467,1,0,1
0015,0058,1,0,1
0015,0032,1,0,1
0000,0123,1,0,1
0006,0018,0,1,1
TOTAL,,656,138,794
